rule_id,source_row_number,analyte_canonical,specimen,fasting_required,sex,age_scope,unit_machine,unit_display_vn,unit_raw,unit_canonical,value_type,range_lower,range_upper,upper_operator,reference_type,source_priority_tier,source_url,confidence
RRV2-0043,43,ALT,Serum/plasma,NO,A,Adult,U/L,U/L,U/L,U/L,activity,,41,<,ONE_SIDED_LIMIT,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/10898/9528/19171,HIGH
RRV2-0042,42,AST,Serum/plasma,NO,A,Adult,U/L,U/L,U/L,U/L,activity,,40,<,ONE_SIDED_LIMIT,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/10898/9528/19171,HIGH
RRV2-0040,40,Albumin,Serum/plasma,NO,A,Adult,g/L,g/L,g/L,g/L,concentration,35,50,,RI,T2,https://www.gloshospitals.nhs.uk/our-services/services-we-offer/pathology/tests-and-investigations/albumin/,HIGH
RRV2-0035,35,Chloride,Serum/plasma,NO,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,95,108,,RI,T2,https://www.gloshospitals.nhs.uk/our-services/services-we-offer/pathology/tests-and-investigations/chloride-ci/,HIGH
RRV2-0038,38,Creatinine,Serum/plasma,NO,F,Adult,µmol/L,µmol/L,µmol/L,umol/L,concentration,45,84,,RI,T2,https://www.uhnm.nhs.uk/our-services/pathology/tests/creatinine/,HIGH
RRV2-0037,37,Creatinine,Serum/plasma,NO,M,Adult,µmol/L,µmol/L,µmol/L,umol/L,concentration,59,104,,RI,T2,https://www.uhnm.nhs.uk/our-services/pathology/tests/creatinine/,HIGH
RRV2-0030,30,Eosinophils %,Whole blood EDTA,NO,F,18–60,%,%,%,%,relative,0.3,6.8,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0029,29,Eosinophils %,Whole blood EDTA,NO,M,18–60,%,%,%,%,relative,0.4,7.6,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0032,32,Eosinophils abs,Whole blood EDTA,NO,F,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,0.026,0.476,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0031,31,Eosinophils abs,Whole blood EDTA,NO,M,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,0.034,0.561,,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH
RRV2-0046,46,Fasting plasma glucose,Fluoride plasma preferred,YES,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,,5.6,,CDL,T2,https://www.cdc.gov/diabetes/diabetes-testing/index.html,HIGH
RRV2-0047,47,Fasting plasma glucose,Fluoride plasma preferred,YES,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,5.6,7,,CDL,T2,https://www.cdc.gov/diabetes/diabetes-testing/index.html,HIGH
