rule_id,source_row_number,analyte_canonical,specimen,fasting_required,sex,age_scope,unit_machine,unit_display_vn,unit_raw,unit_canonical,value_type,range_lower,range_upper,reference_type,source_priority_tier,source_url,confidence,range_flag
RRV2-0057,57,ALT,Serum/plasma,NO,A,Adult,U/L,U/L,U/L,U/L,activity,0,41,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/10898/9528/19171,HIGH,OK
RRV2-0056,56,AST,Serum/plasma,NO,A,Adult,U/L,U/L,U/L,U/L,activity,0,40,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/10898/9528/19171,HIGH,OK
RRV2-0053,53,Albumin,Serum/plasma,NO,A,Adult,g/L,g/L,g/L,10^9/L,concentration,35,50,RI,T2,https://www.gloshospitals.nhs.uk/our-services/services-we-offer/pathology/tests-and-investigations/albumin/,HIGH,OK
RRV2-0039,39,Chloride,Serum/plasma,NO,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,95,108,RI,T2,https://www.gloshospitals.nhs.uk/our-services/services-we-offer/pathology/tests-and-investigations/chloride-ci/,HIGH,OK
RRV2-0043,43,Creatinine,Serum/plasma,NO,F,Adult,µmol/L,µmol/L,µmol/L,umol/L,concentration,45,84,RI,T2,https://www.uhnm.nhs.uk/our-services/pathology/tests/creatinine/,HIGH,OK
RRV2-0042,42,Creatinine,Serum/plasma,NO,M,Adult,µmol/L,µmol/L,µmol/L,umol/L,concentration,59,104,RI,T2,https://www.uhnm.nhs.uk/our-services/pathology/tests/creatinine/,HIGH,OK
RRV2-0032,32,Eosinophils %,Whole blood EDTA,NO,F,18–60,%,%,%,%,relative,0.3,6.8,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0031,31,Eosinophils %,Whole blood EDTA,NO,M,18–60,%,%,%,%,relative,0.4,7.6,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0034,34,Eosinophils abs,Whole blood EDTA,NO,F,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,0.026,0.476,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0033,33,Eosinophils abs,Whole blood EDTA,NO,M,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,0.034,0.561,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0060,60,Fasting plasma glucose,Fluoride plasma preferred,YES,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,5.6,6.9,CDL,T2,https://www.cdc.gov/diabetes/diabetes-testing/index.html,HIGH,OK
RRV2-0061,61,Fasting plasma glucose,Fluoride plasma preferred,YES,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,7,,CDL,T2,https://www.cdc.gov/diabetes/diabetes-testing/index.html,HIGH,OK
RRV2-0040,40,Fasting plasma glucose,Fluoride plasma preferred,YES,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,4.1,6.1,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/10898/9528/19171,HIGH,OK
RRV2-0059,59,GGT,Serum/plasma,NO,F,Adult,U/L,U/L,U/L,U/L,activity,0,36,RI,T2,https://www.gloshospitals.nhs.uk/our-services/services-we-offer/pathology/tests-and-investigations/gamma-gt-ggt/,HIGH,OK
RRV2-0058,58,GGT,Serum/plasma,NO,M,Adult,U/L,U/L,U/L,U/L,activity,0,61,RI,T2,https://www.gloshospitals.nhs.uk/our-services/services-we-offer/pathology/tests-and-investigations/gamma-gt-ggt/,HIGH,OK
RRV2-0008,8,HCT,Whole blood EDTA,NO,F,18–60,L/L,L/L,L/L,L/L,fraction,0.32,0.44,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0007,7,HCT,Whole blood EDTA,NO,M,18–60,L/L,L/L,L/L,L/L,fraction,0.37,0.5,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0076,76,HDL-C,Serum/plasma,CONDITIONAL,A,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,1.5,,CDL,T2,https://www.mayoclinic.org/tests-procedures/cholesterol-test/about/pac-20384601,HIGH,OK
RRV2-0073,73,HDL-C,Serum/plasma,CONDITIONAL,F,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,0,1.29,CDL,T2,https://www.mayoclinic.org/tests-procedures/cholesterol-test/about/pac-20384601,HIGH,OK
RRV2-0075,75,HDL-C,Serum/plasma,CONDITIONAL,F,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,1.3,1.49,CDL,T2,https://www.mayoclinic.org/tests-procedures/cholesterol-test/about/pac-20384601,HIGH,OK
RRV2-0072,72,HDL-C,Serum/plasma,CONDITIONAL,M,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,0,0.99,CDL,T2,https://www.mayoclinic.org/tests-procedures/cholesterol-test/about/pac-20384601,HIGH,OK
RRV2-0074,74,HDL-C,Serum/plasma,CONDITIONAL,M,Adult,mmol/L,mmol/L,mmol/L,mmol/L,concentration,1,1.49,CDL,T2,https://www.mayoclinic.org/tests-procedures/cholesterol-test/about/pac-20384601,HIGH,OK
RRV2-0006,6,HGB,Whole blood EDTA,NO,F,18–60,g/L,g/L,g/L,10^9/L,absolute,110,150,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0005,5,HGB,Whole blood EDTA,NO,M,18–60,g/L,g/L,g/L,10^9/L,absolute,128,183,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0024,24,Lymphocytes %,Whole blood EDTA,NO,A,18–60,%,%,%,%,relative,12,48.6,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0026,26,Lymphocytes abs,Whole blood EDTA,NO,F,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,0.94,3.75,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0025,25,Lymphocytes abs,Whole blood EDTA,NO,M,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,0.92,3.8,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0012,12,MCH,Whole blood EDTA,NO,F,18–60,pg,pg,pg,pg,mass/cell,25.1,31.4,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0011,11,MCH,Whole blood EDTA,NO,M,18–60,pg,pg,pg,pg,mass/cell,26.3,32.2,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0014,14,MCHC,Whole blood EDTA,NO,F,18–60,g/L,g/L,g/L,10^9/L,concentration,322,366,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0013,13,MCHC,Whole blood EDTA,NO,M,18–60,g/L,g/L,g/L,10^9/L,concentration,323,371,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0010,10,MCV,Whole blood EDTA,NO,F,18–60,fL,fL,fL,fL,volume,71.6,91.5,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0009,9,MCV,Whole blood EDTA,NO,M,18–60,fL,fL,fL,fL,volume,73.8,93.1,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0028,28,Monocytes %,Whole blood EDTA,NO,F,18–60,%,%,%,%,relative,3.1,8.9,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0027,27,Monocytes %,Whole blood EDTA,NO,M,18–60,%,%,%,%,relative,3.3,9.39,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0030,30,Monocytes abs,Whole blood EDTA,NO,F,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,0.2,0.72,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0029,29,Monocytes abs,Whole blood EDTA,NO,M,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,0.22,0.79,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0022,22,Neutrophils %,Whole blood EDTA,NO,F,18–60,%,%,%,%,relative,39.83,80.3,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0021,21,Neutrophils %,Whole blood EDTA,NO,M,18–60,%,%,%,%,relative,40.4,79.53,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0023,23,Neutrophils abs,Whole blood EDTA,NO,A,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,2.21,7.55,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0018,18,PLT,Whole blood EDTA,NO,F,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,178,366,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
RRV2-0017,17,PLT,Whole blood EDTA,NO,M,18–60,×10^9/L,G/L,×10^9/L,10^9/L,absolute,172,375,RI,T1,https://tapchiyhocvietnam.vn/index.php/vmj/article/download/9352/8252/16653,HIGH,OK
